Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
521,Sook Ching Massacre,18,February,1942,Singapore,Massacre,Singapore,Systematic purge of antiUnknownJapanese elements,Chinese Singaporeans,Japanese military,Negative
522,Return of the British,12,September,1945,Singapore,Military Administration,Singapore,Restoration of British colonial rule,Singaporean citizens,British Military Administration,Mixed
523,PostUnknownwar Recovery,Unknown,Unknown,1945,Singapore,Reconstruction,Singapore,Economic and infrastructural rehabilitation efforts,Singaporean citizens,British Administration,Positive
524,University of Malaya Formation,Unknown,Unknown,1949,Singapore,Educational Development,Singapore,Start of higher education,Students and academics,British Administration,Positive
525,Maria Hertogh Riots,Unknown,Unknown,1950,Singapore,Social Unrest,Singapore,Exposed ethnic and religious tensions,Singaporean citizens,Unknown,Negative
526,SelfUnknowngovernance Achieved,3,June,1959,Singapore,Political Milestone,Singapore,Singapore gained selfUnknowngovernance from the British,Singaporean citizens,Lee Kuan Yew,Positive
527,Merger with Malaysia,16,September,1963,Singapore,Political Union,Malaysia,Temporary integration with Malaysia,Singaporean citizens,Malaysian and Singaporean Governments,Mixed
528,Separation and Independence,9,August,1965,Singapore,Independence Declaration,Singapore,Singapore became an independent and sovereign nation,Singaporean citizens,Lee Kuan Yew,Positive
529,National Service Introduced,17,March,1967,Singapore,Defense Policy,Singapore,Mandatory military service for male citizens,Male citizens,Singaporean Government,Positive
530,Economic Development,Unknown,Unknown,1970,Singapore,Economic Policy,Singapore,Rapid industrialization and transformation into a global financial hub,Singaporean economy,Singaporean Government,Positive
531,Speak Mandarin Campaign Launched,Unknown,Unknown,1979,Singapore,Cultural Policy,Singapore,Promotion of Mandarin over other Chinese dialects to strengthen national identity,Chinese Singaporeans,Singaporean Government,Positive
532,Elected Presidency Introduced,30,November,1991,Singapore,Political Reform,Singapore,Introduction of a directly elected President with custodial powers over national reserves,Singaporean citizens,Singaporean Government,Positive
533,Signing of the AngloUnknownDutch Treaty,17,March,1824,Singapore,Diplomatic Agreement,London,Formalized British control over Singapore and Dutch control over the Indonesian archipelago.,British and Dutch empires,United Kingdom and Netherlands,Positive
534,Surrender of Singapore to Japan,15,February,1942,Singapore,Military Surrender,Singapore,"Marked the beginning of the Japanese occupation, leading to widespread suffering.","Allied forces, Singaporean citizens",Japanese Empire,Negative
535,Singapore Joins the United Nations,21,September,1965,Singapore,International Relations,Unknown,Affirmed Singapore's sovereignty and global standing following independence.,Singaporean citizens,Unknown,Positive
536,Laju Ferry Hijacking,31,January,1974,Singapore,Terrorism,Singapore,A pivotal event that highlighted Singapore's vulnerability to international terrorism.,Singaporean citizens,"Japanese Red Army, Popular Front for the Liberation of Palestine",Negative
537,Cable Car Disaster,29,January,1983,Singapore,Accident,Sentosa,"The cable car line between Mount Faber and Sentosa was severed, resulting in deaths and highlighting the need for stringent safety measures.",Tourists and locals,Unknown,Negative
538,Hotel New World Collapse,15,March,1986,Singapore,Structural Failure,Singapore,"The collapse of the Hotel New World due to structural failure marked one of the worst disasters in Singapore, leading to improvements in building safety regulations.",Victims and their families,Unknown,Negative
539,Execution of Barlow and Chambers,7,July,1986,Singapore,Judicial Execution,Singapore,The execution of two Australians for drug trafficking underscored Singapore's strict antiUnknowndrug laws.,Australian nationals,Singapore Government,Mixed
540,AngloUnknownPersian Oil Company Agreement,Unknown,Unknown,1901,Iran,Economic Development,Iran,"Discovery and development of oil, fundamentally changing Iran's economy and strategic importance.",Iranian people,William Knox D'Arcy,Mixed
541,British Mandate of Mesopotamia,Unknown,Unknown,1920,Iraq,Colonial Rule,Mesopotamia,"Establishment of British control postUnknownOttoman Empire, setting the stage for modern Iraqi statehood.",Mesopotamian people,League of Nations,Negative
542,Alash Autonomy Declaration,Unknown,Unknown,1917,Almaty,Political Movement,Kazakhstan,"Attempt to establish autonomy amidst the Russian Revolution, highlighting national consciousness.",Kazakh intellectuals,Alash Orda,Mixed
543,Bukhara Emirate Overthrown by Bolsheviks,Unknown,Unknown,1920,Bukhara,Political Change,Bukhara,"Introduction of Soviet rule, significant social and political transformations.",Uzbek people,Bolsheviks,Negative
544,Treaty of Punakha,Unknown,Unknown,1910,Bhutan,Diplomatic Agreement,Punakha,British India's recognition of Bhutan's independence in exchange for control over foreign relations.,Bhutanese people,"British India, Bhutan",Mixed
545,Introduction of Islam officially,Unknown,Unknown,1153,Maldives,Religious Conversion,Maldives,"Conversion to Islam, shaping Maldivian culture, governance, and judicial system.",Maldivian inhabitants,Abu alUnknownBarakat Yusuf alUnknownBarbari,Positive
546,Japanese Occupation of Malaya,Unknown,Unknown,1942,Malaya,Military Occupation,Malaya,Occupation led to hardship but also galvanized movements towards independence.,Malay people,Japanese Empire,Negative
547,Constitutional Revolution,Unknown,Unknown,1906,Tehran,Political Reform,Iran,"Establishment of a parliament, marking the start of constitutional monarchy in Iran.",Iranian citizens,Revolutionaries,Positive
548,Foundation of Modern Iraq,Unknown,Unknown,1932,Iraq,State Formation,Iraq,"Independence from British mandate, leading to the founding of the Kingdom of Iraq.",Iraqi people,Kingdom of Iraq,Positive
549,Forced Collectivization by Soviets,Unknown,Unknown,1930,Kazakhstan,Economic Policy,Kazakhstan,Collectivization led to widespread famine and suffering among the Kazakh population.,Kazakh nomads,Soviet Government,Negative
550,Samarkand becomes part of the Uzbek SSR,Unknown,Unknown,1924,Samarkand,Administrative Reorganization,Samarkand,"Establishment of Uzbek Soviet Socialist Republic, influencing Uzbek national identity.",Uzbek people,Soviet Government,Mixed
551,Establishment of Simtokha Dzong,Unknown,Unknown,1629,Thimphu,Cultural Development,Thimphu,"The first dzong, combining monastic and military functions, foundational for Bhutanese architecture.",Bhutanese people,Zhabdrung Ngawang Namgyal,Positive
552,Sultanate Becomes a British Protectorate,Unknown,Unknown,1887,Maldives,Colonial Subjugation,Maldives,British protection in exchange for defense and nonUnknowninterference in internal affairs.,Maldivian people,British Empire,Mixed
553,Formation of the United Malays National Organisation,Unknown,Unknown,1946,Malaysia,Political Movement,Malaysia,Political mobilization of Malays for rights and independence.,Malay people,Onn Jaafar,Positive
555,Hammurabi's Code of Laws,Unknown,Unknown, 1754 BC ,Babylon,Legal Code Introduction,Babylon,Introduction of one of the earliest written legal codes,Babylonian citizens,Hammurabi,Positive
556,Golden Horde Rule,Unknown,Unknown,1200,Kazakhstan,Political Dominion,Kazakhstan,"Strengthened trade routes across Central Asia, impacting the Silk Road economy",Central Asian populations,Batu Khan,Mixed
558,Introduction of Buddhism,Unknown,Unknown,746,Bhutan,Religious Spread,Bhutan,"Establishment of Buddhism as the state religion, shaping Bhutanese culture and governance",Bhutanese people,Padmasambhava (Guru Rinpoche),Positive
559,Conversion to Islam,Unknown,Unknown,1153,Maldives,Religious Conversion,Maldives,"Transition to Islam, influencing Maldivian culture, trade, and politics",Maldivian people,Abu alUnknownBarakat Yusuf alUnknownBarbari,Positive
560,Malacca Sultanate Established,Unknown,Unknown,1402,Malacca,Sultanate Formation,Malacca,Foundation of a powerful maritime trading state in Southeast Asia,Malay people,Parameswara,Positive
561,Islamic Conquest of Persia,Unknown,Unknown,651,Persia,Military Conquest,Persia,"Introduction of Islam, leading to significant cultural and religious changes",Persian people,Arab Conquerors,Mixed
562,Foundation of Baghdad,Unknown,Unknown,762,Iraq,City Foundation,Baghdad,Establishment of Baghdad as a major cultural and scholarly center,Mesopotamian people,Caliph AlUnknownMansur,Positive
563,Arrival of the Russians,Unknown,Unknown,1731,Kazakhstan,Political Annexation,Kazakhstan,Beginning of Russian influence and eventual control over Kazakh lands,Kazakh Khanate,Russian Empire,Negative
564,Timurid Empire Peaks,Unknown,Unknown,1405,Samarkand,Empire Peak,Uzbekistan,Samarkand becomes a leading center of Islamic culture and arts,Central Asian populations,Timur,Positive
565,Unification of Bhutan,Unknown,Unknown,1634,Bhutan,Country Unification,Bhutan,Establishment of Bhutan as a unified kingdom under a dual system of government,Bhutanese people,Ngawang Namgyal (Zhabdrung Rinpoche),Positive
566,Sultanate ReUnknownestablished,Unknown,Unknown,1558,Maldives,Political Restoration,Maldives,"Restoration of the Sultanate, reaffirming Maldivian independence and sovereignty",Maldivian people,Muhammad Thakurufaanu AlUnknownA'uẓam,Positive
567,British Colonization Begins,Unknown,Unknown,1824,Malaysia,Colonial Rule,Malaysia,"Start of British colonial rule, affecting political and social structures",Malaysian inhabitants,British East India Company,Negative
568,AngloUnknownRussian Agreement,Unknown,Unknown,1907,Iran,Diplomatic Agreement,Iran,"Divided Iran into spheres of British and Russian influence, compromising its sovereignty.",Iranian people,"United Kingdom, Russia",Negative
569,Creation of Iraq by the League of Nations,Unknown,Unknown,1920,Iraq,State Formation,Iraq,Formalized the creation of the modern state of Iraq under British mandate.,Iraqi people,"League of Nations, United Kingdom",Mixed
570,Virgin Lands Campaign,Unknown,Unknown,1954,Kazakhstan,Agricultural Development,Northern Kazakhstan,Aimed to boost Soviet agriculture; led to significant demographic changes.,Kazakh SSR inhabitants,Nikita Khrushchev,Mixed
571,Establishment of Uzbek SSR,Unknown,Unknown,1924,Uzbekistan,Political Reorganization,Uzbekistan,Formation of Uzbek Soviet Socialist Republic within the USSR.,Uzbek people,Soviet Government,Mixed
572,Treaty of Sinchula,Unknown,Unknown,1865,Bhutan,Diplomatic Agreement,Bhutan,"Ceded border lands to British India in exchange for an annual subsidy, defining borders.",Bhutanese people,"British India, Bhutanese Government",Mixed
573,Introduction of English as a Medium of Education,Unknown,Unknown,1940,Maldives,Educational Reform,Maldives,Marked the beginning of modern education in the Maldives.,Maldivian students,Maldivian Government,Positive
574,Japanese Occupation of Malaya,Unknown,Unknown,1941,Malaya,Military Occupation,Malaya,"Japanese control during WWII, leading to significant hardship and resistance movements.",Malayan people,Japanese Empire,Negative
575,Nationalization of Oil Industry,Unknown,Unknown,1951,Iran,Economic Nationalism,Iran,Marked a pivotal moment in Iran's struggle for sovereignty over its oil resources.,Iranian people,Mohammad Mossadegh,Positive
576,Baghdad Pact,Unknown,Unknown,1955,Iraq,Military Alliance,Baghdad,"Aimed to counter Soviet influence in the Middle East, involving Iraq and Western powers.",Iraqi people,"Iraq, United Kingdom, others",Mixed
577,Kengir Uprising,Unknown,Unknown,1954,Kazakhstan,Political Rebellion,Kengir,"A major uprising by Gulag prisoners, highlighting resistance to Soviet repression.",Prisoners,"Gulag prisoners, Soviet Government",Negative
578,Collectivization in Uzbekistan,Unknown,Unknown,1930,Uzbekistan,Agricultural Policy,Uzbekistan,"Forced collectivization under Soviet rule, leading to economic and social upheaval.",Uzbek peasants,Soviet Government,Negative
579,Establishment of the National Assembly,Unknown,Unknown,1953,Bhutan,Political Development,Bhutan,"Introduced a new legislative body, marking a step towards modern governance.",Bhutanese people,Jigme Dorji Wangchuck,Positive
580,First Constitution of Maldives,Unknown,Unknown,1932,Maldives,Constitutional Development,Maldives,"Introduction of the first constitution, laying the foundation for legal and political reform.",Maldivian people,Sultan Muhammad Shamsuddeen III,Positive
581,Malayan Emergency,Unknown,Unknown,1948,Malaya,CounterUnknownInsurgency,Malaya,A guerrilla war between Commonwealth armed forces and the Malayan National Liberation Army.,Malayan people,"British Empire, MNLA",Mixed
582,Reza Shah's Modernization Efforts,Unknown,Unknown,1925,Iran,Modernization Policy,Iran,"Initiatives for modernization and secularization, impacting various aspects of Iranian society.",Iranian people,Reza Shah Pahlavi,Positive
583,Faisal I Becomes King of Iraq,Unknown,Unknown,1921,Iraq,Monarchy Establishment,Iraq,"Establishment of the Hashemite monarchy in Iraq, under British influence.",Iraqi people,Faisal I,Mixed
584,Silk Road Decline,Unknown,Unknown,1500,Central Asia,Economic Shift,Central asia,"Decline of the Silk Road trade routes, impacting Central Asian economies and cities like Samarkand.",Central Asian traders,Unknown,Negative
585,Duar War (BritishUnknownBhutan War),Unknown,Unknown,1864,Bhutan,Military Conflict,Bhutan,Conflict with British India leading to ceding of Bhutanese territories in the Treaty of Sinchula.,Bhutanese people,British India,Negative
586,Sultanate Abolished and Restored,Unknown,Unknown,1953,Maldives,Political Change,Maldives,"Brief abolition of the sultanate, showing political instability and change.",Maldivian people,Unknown,Mixed
587,Federated Malay States Formed,Unknown,Unknown,1895,Malaya,Colonial Administration,Peninsular,British establishment of federated administrative structure to streamline colonial governance.,Malay states people,British Colonial Administration,Negative
588,AngloUnknownIranian Oil Company Nationalized,Unknown,Unknown,1951,Iran,Nationalization,Iran,"Nationalization of Iran's oil industry, leading to a significant political and economic standoff.",Iranian people,Mohammad Mossadegh,Mixed
589,Kingdom of Iraq Independence,Unknown,Unknown,1932,Iraq,Independence,Iraq,"Iraq's independence from British mandate, marking the establishment of a sovereign state.",Iraqi people,Unknown,Positive
590,Famine of 1932Unknown1933,Unknown,Unknown,1932,Kazakhstan,Famine,Kazakhstan,"Devastating famine caused by Soviet collectivization policies, greatly affecting the Kazakh populace.",Kazakh people,Soviet Government,Negative
591,Bukharan People's Soviet Republic Formed,Unknown,Unknown,1920,Bukhara,State Formation,Bukhara,"Establishment of a Soviet republic, incorporating Bukhara into the Soviet Union.",Bukharan people,Soviet Government,Negative
592,Establishment of Monarchy,Unknown,Unknown,1907,Bhutan,Monarchy Establishment,Bhutan,"Establishment of the Wangchuck dynasty, bringing stability and central governance.",Bhutanese people,Ugyen Wangchuck,Positive
593,Introduction of First Constitution,Unknown,Unknown,1932,Maldives,Constitutional Development,Maldives,"Adoption of the first constitution, initiating legal and governmental reforms.",Maldivian people,Sultan Muhammad Shamsuddeen III,Positive
594,Constitutional Revolution,Unknown,Unknown,1905,Iran,Political Reform,Iran,"Establishment of a constitution and a parliament, aiming for modernization and reduction of monarchic power.",Iranian citizens,Constitutional Revolutionaries,Positive
595,British Occupation of Basra,Unknown,Unknown,1914,Basra,Military Occupation,Basra,"Start of British involvement in Iraq during WWI, leading to eventual British mandate.",Iraqi people,British Forces,Negative
596,Forced Sedentarization of Nomads,Unknown,Unknown,1930,Kazakhstan,Social Policy,Kazakhstan,"Soviet policies aimed to settle nomadic populations, significantly altering traditional lifestyles.",Kazakh nomads,Soviet Government,Negative
597,Russian Conquest of Tashkent,Unknown,Unknown,1865,Tashkent,Military Conquest,Tashkent,"Incorporation into the Russian Empire, impacting local governance and development.",Tashkent residents,Russian Empire,Negative
598,Treaty of Punakha with British India,Unknown,Unknown,1910,Punakha,Diplomatic Agreement,Punakha,"Affirmed British protection in exchange for internal autonomy, securing Bhutan's sovereignty.",Bhutanese people,British India,Positive
599,Formal British Protectorate Status,Unknown,Unknown,1887,Maldives,Protectorate Establishment,Maldives,"Established a formal protectorate under British Empire, influencing foreign policy and defense.",Maldivian people,British Empire,Mixed
600,Japanese Occupation,Unknown,Unknown,1942,Malaya,Military Occupation,Southeast Asia,"Japanese control disrupted British colonial rule, contributing to the rise of independence movements.",Malay people,Japanese Empire,Negative
601,Mossadegh's Premiership and Oil Nationalization,Unknown,Unknown,1951,Iran,Economic Policy,Iran,Marked a pivotal point in Iranian nationalism and conflict with Western powers over oil resources.,Iranian people,Mohammad Mossadegh,Mixed
602,14 July Revolution,Unknown,Unknown,1958,Iraq,Political Revolution,Baghdad,"Overthrow of the Hashemite monarchy, leading to the establishment of a republic.",Iraqi people,Iraqi Army and Revolutionaries,Mixed
603,Accession to the Soviet Union,Unknown,Unknown,1922,Soviet Union,Political Union,Kazakhstan,"Integration into the Soviet Union, significantly impacting political and social structures.",Kazakh SSR inhabitants,Soviet Government,Negative
604,Establishment of the Uzbek Soviet Socialist Republic,Unknown,Unknown,1924,Uzbek SSR,State Formation,Uzbekistan,"Formation as a constituent republic of the Soviet Union, altering national identity and governance.",Uzbek SSR inhabitants,Soviet Government,Negative
605,First FiveUnknownYear Plan,Unknown,Unknown,1961,Bhutan,Economic Development,Bhutan,"Initiation of planned economic development, focusing on modernization and infrastructure.",Bhutanese people,"Third King of Bhutan, Jigme Dorji Wangchuck",Positive
606,Suvadive Rebellion,Unknown,Unknown,1959,Addu Atoll,Secession Attempt,Addu Atoll,Attempted secession highlighting regional discontent and desire for greater autonomy within Maldives.,Southern Maldivians,Abdullah Afeef,Negative
607,Formation of Federation of Malaya,Unknown,Unknown,1948,Malaya,Political Reorganization,Malaya,"British response to increasing nationalist movements, setting the stage for eventual independence.",Malay people,British Colonial Administration,Mixed
608,1953 Iranian Coup d'état,Unknown,August,1953,Tehran,Political Coup,Iran,"Overthrow of Prime Minister Mohammad Mossadegh, consolidation of Shah's power.",Iranian citizens,"CIA, MI6",Negative
609,1979 Iranian Revolution,Unknown,February,1979,Iran,Revolution,Iran,"Establishment of the Islamic Republic of Iran, fall of the Pahlavi dynasty.",Iranian citizens,Ayatollah Khomeini,Mixed
610,1958 Iraqi Revolution,Unknown,July,1958,Iraq,Revolution,Baghdad,"Overthrow of the Hashemite monarchy, establishment of a republic.",Iraqi citizens,Abdul Karim Qasim,Mixed
611,IranUnknownIraq War,Unknown,September,1980,Iraq,Military Conflict,Iraq/Iran border,"Attempted to dominate the Persian Gulf region, resulted in stalemate and devastation.","Iraqi, Iranian citizens",Saddam Hussein,Negative
612,Gulf War,Unknown,January,1991,"Kuwait, Iraq",Military Conflict,Kazakhstan,Iraq's invasion of Kuwait leads to conflict and subsequent economic sanctions.,Iraqi citizens,"Saddam Hussein, Coalition Forces",Negative
613,Independence from the Soviet Union,16,December,1991,Kazakhstan,Independence,From Almaty to Astana,Kazakhstan declares sovereignty as the Soviet Union collapses.,Kazakh citizens,Nursultan Nazarbayev,Positive
614,Capital Moved to Astana,Unknown,Unknown,1997,Uzbekistan,Administrative Change,Astana,Moving the capital was aimed at political and economic development.,Kazakh citizens,Nursultan Nazarbayev,Mixed
615,Independence from the Soviet Union,1,September,1991,Uzbekistan,Independence,Uzbekistan,Uzbekistan declares independence following the dissolution of the Soviet Union.,Uzbek citizens,Unknown,Positive
616,Death of Islam Karimov,Unknown,September,2016,Uzbekistan,Political Change,Bhutan,Transition of power after the death of longUnknowntime leader Islam Karimov.,Uzbek citizens,Unknown,Mixed
617,Introduction of Television,Unknown,June,1999,Bhutan,Cultural Change,Bhutan,"Marking the end of Bhutan's isolation, introduction of television and the internet.",Bhutanese citizens,Jigme Singye Wangchuck,Positive
618,First Democratic Elections,Unknown,March,2008,Bhutan,Political Development,Bhutan,Transition to a constitutional monarchy with the first democratic elections.,Bhutanese citizens,Jigme Khesar Namgyel Wangchuck,Positive
619,Introduction of a Multiparty System,Unknown,June,2005,Maldives,Political Reform,Maldives,Reformation towards a more democratic political system.,Maldivian citizens,Maumoon Abdul Gayoom,Positive
620,2004 Tsunami Impact,26,December,2004,Maldives,Natural Disaster,Indian Ocean,Devastation and subsequent reconstruction efforts highlighting vulnerability to climate change.,Maldivian citizens,Unknown,Negative
621,Independence from the United Kingdom,31,August,1957,Malaysia,Independence,Malaya,"End of British colonial rule, establishment of the Federation of Malaya.",Malaysian citizens,Tunku Abdul Rahman,Positive
622,Formation of Malaysia,16,September,1963,Malaysia,State Formation,Malaysia,"Merger of Malaya, Sabah, Sarawak, and Singapore into Malaysia; Singapore later exits in 1965.","Malaysian, Singaporean citizens",Tunku Abdul Rahman,Positive
623,1969 Race Riots,13,May,1969,Malaysia,Civil Unrest,Kuala Lumpur,Ethnic tensions leading to significant violence and the establishment of the New Economic Policy.,Malaysian citizens,Unknown,Negative
624,New Economic Policy Introduced,Unknown,Unknown,1971,Malaysia,Economic Policy,Malaysia,Aimed at eradicating poverty and restructuring societal economic imbalance.,Malaysian citizens,Abdul Razak Hussein,Mixed
625,Green Movement,Unknown,June,2009,Iran,Political Movement,Iran,"Protests over the disputed presidential election results, calling for political reform.",Iranian citizens,Opposition supporters,Negative
626,ISIS Captures Mosul,10,June,2014,Mosul,Military Occupation,Mosul,"ISIS's rapid territorial gains in Iraq, leading to international military interventions.",Iraqi citizens,ISIS,Negative
627,Zhanaozen Massacre,16,December,2011,Zhanaozen,Civil Unrest,Zhanaozen,"Violent crackdown on striking oil workers, leading to numerous deaths and injuries.",Kazakh workers,Kazakhstan Government,Negative
628,Currency Convertibility Introduced,Unknown,September,2017,Uzbekistan,Economic Policy,Uzbekistan,Introduction of currency convertibility to boost investment and economic liberalization.,Uzbek citizens,Shavkat Mirziyoyev,Positive
629,Gross National Happiness Introduced,Unknown,Unknown,1972,Bhutan,Social Policy,Bhutan,Concept of measuring and promoting happiness as a goal of governance.,Bhutanese citizens,King Jigme Singye Wangchuck,Positive
630,Political Crisis and State of Emergency,Unknown,February,2018,Maldives,Political Crisis,Malé,Political tensions leading to a state of emergency and concerns over democracy.,Maldivian citizens,Abdulla Yameen,Negative
631,1MDB Scandal,Unknown,Unknown,2015,Malaysia,Corruption Scandal,Malaysia,A major corruption scandal involving the state fund 1MDB and leading political figures.,Malaysian citizens,Najib Razak,Negative
632,US Withdrawal from the JCPOA,8,May,2018,Iran,Diplomatic Event,Iran,"US withdrawal from the nuclear deal, leading to heightened tensions and economic sanctions.",Iranian citizens,Donald Trump,Negative
633,Protests Against Corruption and Unemployment,Unknown,October,2019,Iraq,Civil Unrest,Baghdad,Nationwide protests demanding political reform and action against corruption.,Iraqi citizens,Protesters,Negative
634,Presidential Transition,19,March,2019,Kazakhstan,Political Change,NurUnknownSultan,"Nursultan Nazarbayev resigns after decades in power, KassymUnknownJomart Tokayev becomes president.",Kazakh citizens,"Nursultan Nazarbayev, KassymUnknownJomart Tokayev",Mixed
635,Release of Political Prisoners,Unknown,Unknown,2016,Uzbekistan,Human Rights Improvement,Uzbekistan,"Following Karimov's death, numerous political prisoners were released as part of reforms.",Uzbek political prisoners,Shavkat Mirziyoyev,Positive
636,Decriminalization of Homosexuality,17,December,2020,Bhutan,Legal Reform,Bhutan,Amendment of the penal code to decriminalize sameUnknownsex relationships.,Bhutanese citizens,Bhutanese Parliament,Positive
637,Presidential Election Victory of Ibrahim Solih,23,September,2018,Maldives,Electoral Victory,Maldives,Marked a significant shift in the political landscape towards democratic reform.,Maldivian citizens,Ibrahim Mohamed Solih,Positive
638,Pakatan Harapan Electoral Victory,9,May,2018,Malaysia,General Election,Malaysia,"The opposition coalition's victory, ending six decades of UMNOUnknownled government rule.",Malaysian citizens,Mahathir Mohamad,Positive
639,Malaysia Airlines Flight MH370 Disappearance,8,March,2014,Malaysia,Aviation,Southern Indian Ocean,"Disappeared en route from Kuala Lumpur to Beijing with 239 people on board, remains missing.",239 passengers & crew,Boeing 777Unknown200ER,Negative
640,Japan Airlines Flight 123,12,August,1985,Japan,Aviation,Mount Takamagahara,The world's deadliest singleUnknownaircraft accident with 520 fatalities.,520 passengers & crew,Boeing 747SR,Negative
641,China Airlines Flight 611,25,May,2002,Taiwan,Aviation,Taiwan Strait,"Disintegration in midUnknownflight due to structural failure, killing all 225 aboard.",225 passengers & crew,Boeing 747Unknown209B,Negative
642,Korean Air Flight 801,6,August,1997,South Korea,Aviation,Guam,"Crashed on approach to Guam due to pilot error and adverse conditions, 228 fatalities.",254 passengers & crew,Boeing 747Unknown300,Negative
643,AirAsia Flight QZ8501,28,December,2014,Indonesia,Aviation,Java Sea,"Crashed into the Java Sea during bad weather, killing all 162 people on board.",162 passengers & crew,Airbus A320Unknown216,Negative
644,Pakistan International Airlines Flight 268,28,September,1992,Pakistan,Aviation,Kathmandu,"Crashed into a hillside on approach to Kathmandu, 167 fatalities.",167 passengers & crew,Airbus A300B4Unknown203,Negative
645,Philippine Airlines Flight 434,11,December,1994,Philippines,Aviation,Okinawa,"A bomb exploded on board, killing one and injuring several; part of a terrorist plot.","1 fatality, several injured",Boeing 747Unknown283B,Negative
646,SilkAir Flight 185,19,December,1997,Singapore,Aviation,Musi River,"Crashed into the Musi River, all 104 aboard died, cause of the crash was controversial.",104 passengers & crew,Boeing 737Unknown36N,Negative
647,OneUnknownTwoUnknownGO Airlines Flight 269,16,September,2007,Thailand,Aviation,Phuket,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities.",130 passengers & crew,McDonnell Douglas MDUnknown82,Negative
648,MV Sewol Ferry Sinking,16,April,2014,South Korea,Maritime,Yellow Sea,"Ferry capsized and sank during a voyage to Jeju, over 300 dead, mostly high school students.",476 passengers & crew,MV Sewol,Negative
649,Fukushima Daiichi Nuclear Disaster,11,March,2011,Japan,Nuclear Accident,Fukushima Prefecture,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material.",Residents of Fukushima,Fukushima Daiichi Nuclear Power Plant,Negative
650,Wenzhou Train Collision,23,July,2011,China,Rail,Wenzhou,"HighUnknownspeed train collision due to signal failure, causing 40 deaths and over 190 injuries.",Passengers,HighUnknownspeed Trains,Negative
651,MV Doña Paz Collision,20,December,1987,Philippines,Maritime,Tablas Strait,"Collided with a tanker, resulting in the world's deadliest peacetime maritime disaster with over 4,300 deaths.","Over 4,300 passengers & crew","MV Doña Paz, MT Vector",Negative
652,Nedelin Catastrophe,24,October,1960,Russia,Spacecraft Accident,Baikonur Cosmodrome,"Explosion during missile test, killing over 100 people, including top missile program personnel.",Military and technical staff,RUnknown16 ballistic missile,Negative
653,Sidoarjo Mud Flow,29,May,2006,Indonesia,Industrial Accident,Sidoarjo,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages.",Thousands displaced,Lapindo Brantas drilling rig,Negative
654,Tham Luang Cave Rescue,23,June,2018,Thailand,Rescue Operation,Tham Luang Cave,"A youth football team and their coach were trapped in a cave for 18 days, global rescue effort.",12 boys and their coach,"Divers, pumps, and rescue equipment",Positive
655,Declaration of Independence,4,July,1776,USA,Political,Philadelphia,Marked the USA's declaration of independence from British rule.,American colonies,Continental Congress,Positive
656,Louisiana Purchase,30,April,1803,USA,Territorial Acquisition,Midwest,"Doubled the size of the USA, acquiring territory from France.",American settlers,Thomas Jefferson,Positive
657,Civil War,12,April,1861,USA,War,Southern USA,"Resolved the issues of slavery and secession, preserving the Union.",American citizens,"Abraham Lincoln, Jefferson Davis",Mixed
658,Women's Suffrage (19th Amendment),18,August,1920,USA,Legislative,Nationwide,Granted women the right to vote.,Women across the USA,Suffragists,Positive
659,Stock Market Crash of 1929,29,October,1929,USA,Economic,"Wall Street, NY","Led to the Great Depression, impacting global economy.",Global population,Unknown,Negative
660,Moon Landing (Apollo 11),20,July,1969,USA,Space Exploration,Moon,First successful manned mission to the Moon.,Global population,"NASA, Neil Armstrong, Buzz Aldrin",Positive
661,Civil Rights Act of 1964,2,July,1964,USA,Legislative,Nationwide,"Prohibited discrimination based on race, color, religion, sex, or national origin.",American citizens,Lyndon B. Johnson,Positive
662,September 11 Attacks,11,September,2001,USA,Terrorism,"NY, VA, PA",Led to global War on Terror and significant changes in US policies.,"American citizens, global citizens",AlUnknownQaeda,Negative
663,First Mars Helicopter Flight,19,April,2021,USA,Space Exploration,Mars,Ingenuity helicopter made the first powered flight on another planet.,Global population,NASA,Positive
664,Brown v. Board of Education,17,May,1954,USA,Judicial,"Topeka, Kansas",Landmark Supreme Court ruling that declared segregation in public schools unconstitutional.,African American students,"Supreme Court, Thurgood Marshall",Positive
665,Vietnam War,             ,Unknown,1955,USA,Military,Vietnam,Controversial conflict that sparked widespread protests and led to significant casualties.,American and Vietnamese,Multiple US Administrations,Negative
666,Watergate Scandal,17,June,1972,USA,Political Scandal,Washington D.C.,Led to the resignation of President Richard Nixon.,American public,"Richard Nixon, Democratic Party",Negative
667,Challenger Space Shuttle Disaster,28,January,1986,USA,Space Exploration Disaster,"Cape Canaveral, FL","Space Shuttle Challenger broke apart shortly after launch, killing all seven crew members.","Astronauts, general public",NASA,Negative
668,Fall of the Berlin Wall,9,November,1989,USA,International,"Berlin, Germany",Symbolized the end of the Cold War and led to German reunification; significant US involvement.,Global population,"Ronald Reagan, Mikhail Gorbachev",Positive
